Date,Close/Last,Volume,Open,High,Low
05/22/2024,$670.27,986999,$670.38,$673.63,$666.203
05/21/2024,$667.82,1091983,$670.60,$670.60,$665.13
05/20/2024,$670.15,931584,$659.88,$671.4899,$659.465
05/17/2024,$661.18,774761,$655.25,$661.75,$654.72
05/16/2024,$653.37,957394,$654.69,$658.29,$651.825
05/15/2024,$655.13,1082805,$643.90,$656.90,$642.00
05/14/2024,$635.42,879700,$624.71,$637.46,$623.16
05/13/2024,$627.19,916208,$638.17,$638.17,$625.87
05/10/2024,$632.31,917544,$628.60,$637.88,$628.01
05/09/2024,$626.86,1292679,$632.43,$633.88,$624.21
05/08/2024,$632.43,889759,$641.15,$641.43,$629.53
05/07/2024,$641.15,757770,$635.09,$641.61,$631.31
05/06/2024,$634.64,802889,$632.27,$635.00,$627.5801
05/03/2024,$629.27,1109512,$623.78,$631.39,$622.15
05/02/2024,$614.04,1103544,$617.06,$620.86,$607.285
05/01/2024,$615.20,1199152,$625.13,$629.66,$610.04
04/30/2024,$625.62,1309911,$637.01,$637.92,$625.23
04/29/2024,$638.39,886530,$637.33,$644.99,$634.375
04/26/2024,$636.55,1192496,$627.07,$640.13,$626.59
04/25/2024,$626.39,1242962,$630.66,$632.815,$619.785
04/24/2024,$635.49,1378172,$623.50,$642.105,$622.56
04/23/2024,$630.88,1461942,$615.12,$632.825,$612.07
04/22/2024,$609.77,1056878,$608.46,$614.07,$600.90
04/19/2024,$605.17,1609082,$609.13,$611.19,$598.01
04/18/2024,$608.38,791072,$616.89,$616.89,$606.28
04/17/2024,$613.21,1117442,$615.39,$617.80,$611.8401
04/16/2024,$611.49,1264878,$613.65,$618.56,$610.92
04/15/2024,$612.12,1065768,$629.28,$630.00,$610.485
04/12/2024,$621.11,1454706,$618.49,$626.23,$616.085
04/11/2024,$627.71,1612817,$630.93,$633.71,$623.83
04/10/2024,$628.36,962309,$630.74,$635.28,$626.55
04/09/2024,$644.09,847929,$650.00,$650.42,$636.315
04/08/2024,$645.28,1016678,$639.17,$647.39,$637.08
04/05/2024,$635.74,1619825,$623.50,$637.25,$621.55
04/04/2024,$621.28,1293478,$633.78,$637.06,$620.33
