Date,Close/Last,Volume,Open,High,Low
07/15/2024,$155.39,1915148,$154.19,$155.7618,$153.77
07/12/2024,$153.20,2657550,$151.88,$154.44,$151.585
07/11/2024,$151.25,2087333,$149.24,$151.46,$148.58
07/10/2024,$148.89,2570974,$150.86,$150.94,$146.46
07/09/2024,$151.09,1917940,$150.96,$151.97,$150.18
07/08/2024,$150.98,2461056,$150.00,$151.2799,$149.71
07/05/2024,$150.51,1684544,$149.08,$150.57,$148.13
07/03/2024,$148.79,1142575,$149.42,$149.97,$148.16
07/02/2024,$149.39,1480427,$146.77,$149.46,$146.77
07/01/2024,$147.14,1572842,$149.55,$150.07,$147.05
06/28/2024,$149.04,3926039,$149.64,$149.64,$147.94
06/27/2024,$149.08,2330563,$150.02,$150.23,$148.36
06/26/2024,$149.75,2662005,$147.74,$150.05,$147.74
06/25/2024,$148.88,2333488,$150.40,$150.69,$148.535
06/24/2024,$150.27,2073276,$149.70,$151.82,$149.10
06/21/2024,$149.79,6996585,$150.41,$151.12,$148.68
06/20/2024,$149.94,2653378,$148.99,$150.56,$148.42
06/18/2024,$149.49,2461400,$150.46,$150.58,$148.18
06/17/2024,$149.73,2140671,$148.27,$150.08,$147.46
06/14/2024,$148.94,2374240,$147.45,$149.25,$146.97
06/13/2024,$148.26,2025908,$147.66,$148.31,$146.25
06/12/2024,$148.02,2420223,$150.62,$150.675,$147.68
06/11/2024,$148.00,2556687,$149.08,$149.15,$147.38
06/10/2024,$149.60,2375089,$150.34,$150.40,$148.10
06/07/2024,$151.42,1835543,$150.79,$152.18,$150.4165
06/06/2024,$150.56,1771274,$149.36,$151.36,$148.88
06/05/2024,$149.31,1947485,$148.74,$150.03,$147.84
06/04/2024,$147.99,2111813,$147.66,$148.80,$147.52
06/03/2024,$148.47,2571904,$149.48,$150.05,$146.76
05/31/2024,$149.76,3582696,$147.80,$149.86,$146.79
05/30/2024,$147.88,1821117,$147.98,$148.68,$146.80
05/29/2024,$147.82,2252707,$147.11,$148.30,$146.71
05/28/2024,$148.42,2217594,$149.77,$150.765,$147.57
05/24/2024,$150.34,1579942,$150.89,$151.26,$149.83
05/23/2024,$150.20,1612903,$152.83,$152.92,$149.90
05/22/2024,$152.57,1446001,$152.88,$153.205,$151.87
05/21/2024,$152.77,2101294,$151.08,$153.26,$150.27
05/20/2024,$151.34,1777059,$152.72,$153.05,$150.76
05/17/2024,$152.71,3093991,$153.50,$153.50,$151.925
05/16/2024,$152.84,2914356,$155.00,$155.75,$152.71
05/15/2024,$155.01,1692587,$153.73,$155.66,$153.73
05/14/2024,$153.68,1993235,$153.48,$154.25,$152.60
05/13/2024,$153.22,2067398,$154.85,$155.23,$152.40
05/10/2024,$154.22,2055296,$155.38,$155.53,$154.20
05/09/2024,$154.67,2408084,$153.19,$154.78,$153.135
05/08/2024,$153.29,2221493,$152.90,$153.61,$152.03
05/07/2024,$153.04,1964416,$150.71,$153.14,$150.61
05/06/2024,$150.59,2132449,$149.60,$150.66,$149.35
05/03/2024,$149.22,2942846,$149.01,$149.51,$147.725
05/02/2024,$149.17,2572284,$149.85,$149.85,$148.43
05/01/2024,$148.86,3248496,$152.10,$152.66,$148.755
04/30/2024,$152.67,2730169,$153.36,$153.95,$152.18
04/29/2024,$154.32,1940779,$156.00,$156.38,$153.435
04/26/2024,$155.89,3196489,$153.10,$156.92,$152.72
04/25/2024,$153.29,3049955,$151.64,$153.52,$150.32
04/24/2024,$152.25,2487304,$155.44,$155.88,$151.90
04/23/2024,$155.39,5334751,$159.23,$159.56,$153.52
04/22/2024,$148.80,2773124,$149.28,$149.77,$148.00
04/19/2024,$148.62,2515820,$147.01,$148.66,$145.98
04/18/2024,$146.91,1989629,$146.50,$147.88,$146.305
04/17/2024,$147.10,2949247,$147.60,$148.74,$146.93
04/16/2024,$146.40,3294098,$148.61,$149.16,$146.06
04/15/2024,$148.19,2275670,$152.72,$153.015,$148.16
04/12/2024,$151.20,2118392,$152.44,$153.35,$150.655
04/11/2024,$153.59,1763365,$153.60,$154.45,$152.01
04/10/2024,$153.78,1733804,$153.71,$155.1257,$153.5063
04/09/2024,$155.38,1889121,$158.23,$158.39,$154.36
04/08/2024,$157.85,1998603,$157.34,$158.27,$156.72
04/05/2024,$157.38,1691821,$155.86,$157.84,$155.13
04/04/2024,$154.91,2600090,$158.60,$159.13,$154.77
